,indice,page_number,line_number,text,text_type,speaker,time_added
37,163,10,13,She's a CPA there?,q,MR. CHAMBERS,start_answer
38,164,10,14,Correct.,a,THE WITNESS,start_question
39,165,10,15,"I know it says sent to undisclosed recipients, but do you believe that to be probably to clients of Faw Casson?",q,MR. CHAMBERS,start_answer
40,168,10,18,Correct.,a,THE WITNESS,start_question
41,169,10,19,The allegation in this case is that my client fell at about 7:30 in the morning. Where were you that morning at 7:30?,q,MR. CHAMBERS,start_answer
42,174,10,24,"The office is on the second floor. So I was at my front desk, and I would have just been sitting there doing my job.",a,THE WITNESS,start_question
43,178,11,3,So you were in the building at the time she alleges she fell?,q,MR. CHAMBERS,start_answer
44,180,11,5,Correct.,a,THE WITNESS,start_question
45,181,11,6,What do you recall about the conditions outside when you arrived that morning?,q,MR. CHAMBERS,start_answer
46,184,11,9,"The ground would have been salted and it would not have been slick, because if it was, I would have called and taken the necessary action and called the owner of the building and let him know so he could take the actions that he needed to in order to correct it or remedy the problem.",a,THE WITNESS,start_question
47,191,11,16,What time did you arrive?,q,MR. CHAMBERS,start_answer
48,192,11,17,"Honestly I can't remember, but I would have been there -- I know I was there when this occurred because someone came up and told me.  But I don't know what time I would have arrived that morning.",a,THE WITNESS,start_question
49,197,11,22,Do you have a specific recollection that it had been salted before this incident?,q,MR. CHAMBERS,start_answer
50,201,12,1,"When I came in, it was salted.",a,THE WITNESS,start_question
51,202,12,2,The reason I ask --,q,MR. CHAMBERS,start_answer
52,203,12,3,"In relation to this, I don't know.",a,THE WITNESS,start_question
53,204,12,4,Were you certain what time you arrived?,q,MR. CHAMBERS,start_answer
54,206,12,6,I am not.,a,THE WITNESS,start_question
55,207,12,7,I'll represent to you there's been testimony from the people who did the salting that it had not been salted prior to her fall. Do you have reason to disagree with that?,q,MR. CHAMBERS,start_answer
56,213,12,13,"If it had not been salted, it was not slick to an extent that I would have called him and said, The sidewalks are slick.",a,THE WITNESS,start_question
57,217,12,17,"Let me show you what's been marked previously as Crissman No. 2.  I ask you to take a look at that. Going down, if you could, to the bottom note, I'll represent to you this is an invoice that was sent to the property manager from Crissman.  And I'm going to have to turn this over because I only have one copy of this. Do you remember whether it was raining when you arrived?",q,MR. CHAMBERS,start_answer
58,229,13,4,I do not.,a,THE WITNESS,start_question
59,230,13,5,"This indicates:  ""Rain began around 4 am.  It continued to rain until roughly 6:30-7."" Do you see that?",q,MR. CHAMBERS,start_answer
60,234,13,9,Uh-huh.,a,THE WITNESS,start_question
61,235,13,10,"And then it says ""When rain subsided we then began to apply salt and melt.""  And then it goes on:  ""Conditions from 7:30 to 10:30 in Dover were extremely slick, black ice was everywhere."" Do you recall whether it was extremely slick and there was black ice everywhere?",q,MR. CHAMBERS,start_answer
62,243,13,18,"I'm upstairs on the second floor, so once I arrive at the office, I would not be back downstairs in order for me to say what the conditions were.",a,THE WITNESS,start_question
63,247,13,22,So you can't say one way or the other?,q,MR. CHAMBERS,start_answer
64,249,13,24,No.,a,THE WITNESS,start_question
65,251,14,1,When you arrive do you go in the front door?,q,MR. CHAMBERS,start_answer
66,253,14,3,Yes.,a,THE WITNESS,start_question
67,254,14,4,Do you have to use a card to get into the building?,q,MR. CHAMBERS,start_answer
68,256,14,6,"There is a card reader that, if the doors are not unlocked, yes, you have to use it.  That day in particular I don't remember what time I got there, so I don't know whether I would have needed to use it or not.",a,THE WITNESS,start_question
69,262,14,12,But it's clear that the plan was that the doors would be open at 7:30 so your clients could come in?,q,MR. CHAMBERS,start_answer
70,265,14,15,"I would have to say yes.  If that is what is on the documentation, then yes, we would have had the door open at that time, but I was not there to confirm or deny that.",a,THE WITNESS,start_question
71,270,14,20,Who was actually conducting the seminar?,q,MR. CHAMBERS,start_answer
72,272,14,22,That would have been Tammy Ordway.,a,THE WITNESS,start_question
73,273,14,23,Was she present?,q,MR. CHAMBERS,start_answer
74,274,14,24,I could not tell you.  I don't recollect if I was there at the time that this whole thing started.,a,THE WITNESS,start_question
75,278,15,3,Do you recollect anyone other than yourself being there that morning?,q,MR. CHAMBERS,start_answer
76,280,15,5,"I do not, because it's been two years ago.",a,THE WITNESS,start_question
77,282,15,7,Who attended the meeting that morning?,q,MR. CHAMBERS,start_answer
78,284,15,9,John Smith and Sal Minella.,a,THE WITNESS,start_question
79,285,15,10,Who told you?,q,MR. CHAMBERS,start_answer
80,286,15,11,I do not recollect.  I just know someone came up and said someone had fallen and that the area was icy and I then reached out to the owner.,a,THE WITNESS,start_question
81,290,15,15,And did you ever have any contact with Ms. Richard?,q,MR. CHAMBERS,start_answer
82,292,15,17,No.,a,THE WITNESS,start_question
83,293,15,18,You never went outside that day?,q,MR. CHAMBERS,start_answer
84,294,15,19,No.,a,THE WITNESS,start_question
85,295,15,20,"But after she fell, the person you don't know who it was made you aware that it was icy?",q,MR. CHAMBERS,start_answer
86,298,15,23,Yes.,a,THE WITNESS,start_question
87,299,15,24,Such that you took it upon yourself to call someone?,q,MR. CHAMBERS,start_answer
88,302,16,2,Yes.,a,THE WITNESS,start_question
89,303,16,3,Who did you call?,q,MR. CHAMBERS,start_answer
90,304,16,4,Jon Anstine.,a,THE WITNESS,start_question
91,305,16,5,Do you remember what time that was?,q,MR. CHAMBERS,start_answer
92,306,16,6,I do not.,a,THE WITNESS,start_question
93,307,16,7,"Did you speak to him, or did you have to leave a message?",q,MR. CHAMBERS,start_answer
94,309,16,9,I don't recall.,a,THE WITNESS,start_question
95,310,16,10,"Mr. Anstine has previously testified, and he had actually prepared a timeline for the events on that morning. Take a look at that.  I only have one question about it for you when you're done. That log doesn't appear to reference any messages or calls from you or anyone at Faw Casson. Would you agree?",q,MR. CHAMBERS,start_chat
96,319,16,19,Objection to form. The second line exactly represents --,side_chat,MR. DOSS,start_chat
97,321,16,21,May I see that?,side_chat,MR. CHAMBERS,start_question
98,323,16,23,Second line -- oh.  I stand corrected.  There is your name.  I apologize. It says there's an email from you.,q,MR. CHAMBERS,start_answer
99,329,17,4,That's what that states.,a,THE WITNESS,start_question
100,330,17,5,Do you recall making a phone call?,q,MR. CHAMBERS,start_answer
101,331,17,6,"The recollection is, like I said, two years ago, so I can't say one way or the other, but I would typically have called him on an incident like that.  I would not have sent an email.",a,THE WITNESS,start_question
102,336,17,11,"I apologize.  I did not see that entry earlier. The purpose of your call or email, whichever it was, was to inform him it was icy outside?",q,MR. CHAMBERS,start_answer
103,341,17,16,Correct.,a,THE WITNESS,start_question
104,342,17,17,You did not speak to Ms. Richard that day I know. Have you ever had occasion to speak with her about this incident since then?,q,MR. CHAMBERS,start_answer
105,347,17,22,"I don't believe I have spoken to her about this incident at all, no.",a,THE WITNESS,start_chat
106,349,17,24,I think that's all I have for you.  Thank you.,side_chat,MR. CHAMBERS,start_question
107,353,18,3,"Ma'am, you mentioned earlier that you would have called someone if you had any issues getting into the building when you first got there, whenever that was, correct?",q,MR. DOSS,start_answer
108,358,18,8,I would have called --,a,THE WITNESS,start_question
109,359,18,9,Right.  If you had issues.,q,MR. DOSS,start_answer
110,360,18,10,"Yes.  If it had been slick when I arrived at the office, yes, I would have called.",a,THE WITNESS,start_question
111,363,18,13,Who would that have been?,q,MR. DOSS,start_answer
112,364,18,14,That would have been Jon Anstine.,a,THE WITNESS,start_question
113,365,18,15,You didn't make the call because you didn't have any issues getting in?,q,MR. DOSS,start_answer
114,367,18,17,Correct.,a,THE WITNESS,start_question
115,368,18,18,You weren't aware of any issues coming in from anybody else?,q,MR. DOSS,start_answer
116,370,18,20,Correct.,a,THE WITNESS,start_question
117,371,18,21,You were then shown that memo.,q,MR. DOSS,start_chat
118,372,18,22,"Scott, can you hand that back to her?",side_chat,MR. DOSS,start_chat
119,374,18,24,The timeline?,side_chat,MR. CHAMBERS,start_chat
120,376,19,1,"Yes, please.",side_chat,MR. DOSS,start_question
121,378,19,3,The timeline is marked as Anstine --,q,MR. DOSS,start_answer
122,380,19,5,Anstine 1.,a,THE WITNESS,start_question
123,381,19,6,"Thank you.  If you turn to the second page, that appears to be a copy of the email you sent, but tell me if I'm wrong.  I don't know if that's your email address or not.",q,MR. DOSS,start_answer
124,386,19,11,That is my email address.,a,THE WITNESS,start_question
125,387,19,12,"It reflects that you sent the email on January 9th, 2018, at 8:04 a.m.?",q,MR. DOSS,start_answer
126,389,19,14,Correct.,a,THE WITNESS,start_question
127,390,19,15,To Mr. Anstine?,q,MR. DOSS,start_answer
128,391,19,16,Yes.,a,THE WITNESS,start_question
129,392,19,17,You can read that to yourself if you want first.,q,MR. DOSS,start_answer
130,394,19,19,Yes.,a,THE WITNESS,start_question
131,395,19,20,Does that help you recall what you did that morning in terms of notifying Mr. Anstine once you found out there were some issues?,q,MR. DOSS,start_answer
132,399,19,24,Yes.,a,THE WITNESS,start_question
133,401,20,1,Apparently it was an email?,q,MR. DOSS,start_answer
134,402,20,2,"Yes.  I would have to say I can't recollect, obviously, like I said, two years ago, but I would assume that I probably would have tried to call him and could not get through.  That's why I sent him an email.",a,THE WITNESS,start_question
135,408,20,8,"When you say you give him a heads-up, that was for what purpose?",q,MR. DOSS,start_answer
136,410,20,10,"To make him aware that someone had fallen so if he were to get communications, that he knew what was going on.",a,THE WITNESS,start_question
137,413,20,13,Do you know who then would have done any work with regard to outdoor conditions with regard to him?,q,MR. DOSS,start_answer
138,416,20,16,"I'm not familiar with who the company was, but I know he had someone to come out and -- a company that he would contact to come out and either shovel or put down salt.",a,THE WITNESS,start_question
139,421,20,21,Did you ever see anybody doing any work like that at any time that day?,q,MR. DOSS,start_answer
140,423,20,23,"No, but again, we're on the second floor.  I'm not near a window.",a,THE WITNESS,start_question
141,426,21,1,I'm sorry.  You probably testified to this earlier. Did you actually go down to see --,q,MR. DOSS,start_answer
142,430,21,5,No.,a,THE WITNESS,start_question
143,431,21,6,-- the person or the event?,q,MR. DOSS,start_answer
144,432,21,7,No.,a,THE WITNESS,start_question
145,433,21,8,Are there any windows right where you are at the reception area?,q,MR. DOSS,start_answer
146,435,21,10,No.,a,THE WITNESS,start_question
147,436,21,11,You have a statement here in the second sentence of your email about shoveling at the end of the sidewalk where you park. Do you know where that was in relationship to the front entrance where you would have parked that morning?,q,MR. DOSS,start_answer
148,443,21,18,"In relation to the front entrance, it is quite a ways away.  I don't know how many feet, but it's probably eight car lengths away.  You can park up against the sidewalk there.",a,THE WITNESS,start_question
149,448,21,23,So is this the sidewalk that leads to the front entrance you're talking about?,q,MR. DOSS,start_answer
150,451,22,1,Correct.,a,THE WITNESS,start_question
151,452,22,2,Was any of the sidewalk clear?,q,MR. DOSS,start_chat
152,453,22,3,Any of the sidewalk where?,side_chat,MR. BAUMBERGER,start_question
153,456,22,6,Let me put it this way:  You told us you didn't have any issues getting in. There's a mention here about not shoveling the end of the sidewalk.  I presume from what you have already testified to and the way this email is phrased that some portion of the sidewalk was clear.,q,MR. DOSS,start_answer
154,463,22,13,"Yes.  Because at the end of that, it says ""to get to the clear sidewalk.""",a,THE WITNESS,start_question
155,465,22,15,"Do you remember where in the parking lot itself it was slippery?  You make a statement in parentheses at the end of that second sentence:  ""(which is very slippery still),"" and I'm trying to figure out when you were referring to that or when you had that information.  If you know sitting here today.",q,MR. DOSS,start_answer
156,473,22,23,"That would be the blacktop because I'm stating that ""everyone has to walk through the parking lot,"" which would be the blacktop portion where you would park on, ""is very slippery.""",a,THE WITNESS,start_question
157,479,23,4,"When you're saying ""slippery still,"" when are you talking about?",q,MR. DOSS,start_answer
158,481,23,6,When I was coming in that morning.,a,THE WITNESS,start_question
159,482,23,7,"So you're not talking about, like, sometime after she fell.  You're talking about when you came in that morning?",q,MR. DOSS,start_answer
160,485,23,10,Yes.,a,THE WITNESS,start_question
161,486,23,11,You didn't make any calls after coming in that morning to anybody or to Mr. Anstine before this call at 8:00 -- or this email at 8:04; is that correct?,q,MR. DOSS,start_answer
162,490,23,15,"Like I said, this was two years ago, so I can't say for certain, but I would assume out of my typical habit I would have tried to reach out to him via phone and then sent the email.",a,THE WITNESS,start_question
163,495,23,20,"Right.  But I'm talking about your earlier testimony that, when you first came in that day, you did not call anyone because you didn't have any problems coming in. Is that correct?",q,MR. DOSS,start_answer
164,502,24,2,Correct.,a,THE WITNESS,start_question
165,503,24,3,Were you aware of any warnings for late school openings or DOT warnings with regard to travel that morning?,q,MR. DOSS,start_answer
166,506,24,6,Two years ago.  I couldn't tell you.,a,THE WITNESS,start_question
167,508,24,8,I had to ask.  I don't know if I don't ask.,q,MR. DOSS,start_chat
168,510,24,10,"Thank you, ma'am. That's all I have for now.",side_chat,MR. DOSS,start_question
169,513,24,13,"Mary Sherlock.  I represent Crissman Cutters, the snow-and-ice-removal company.  I just have a few questions for you, ma'am. In general terms in January 2018, what would be your normal business hours to arrive there in the morning?",q,MS. SHERLOCK,start_answer
170,521,24,21,I normally arrive at 8:00 a.m. because that would be our tax-season hours. So I would have been there at 8:00 a.m.,a,THE WITNESS,start_question
171,524,24,24,"To the best of your recollection, what time did you arrive that particular morning?",q,MS. SHERLOCK,start_answer
172,528,25,3,I do not know.  It would have been before 8:00 a.m. so I could have been at my deck at 8:00 a.m. and been able to answer calls.  But I don't know what time I actually arrived at the office that day.,a,THE WITNESS,start_question
173,533,25,8,"Exhibit No. 2, Anstine 2, in front of you, was an invitation to the accounting firm's customers to an event that day that was going to be from 8:00 to 9:00, and it indicates the doors would be open at 7:30 a.m., correct?",q,MS. SHERLOCK,start_answer
174,539,25,14,Correct.,a,THE WITNESS,start_question
175,540,25,15,Would that be the doors to the building that they could gain access to the building that day at that time?,q,MS. SHERLOCK,start_answer
176,543,25,18,Correct.,a,THE WITNESS,start_question
177,544,25,19,So is it fair to say you were probably there that day before 7:30?,q,MS. SHERLOCK,start_answer
178,546,25,21,Not necessarily.  I'm the receptionist.  And they would not come to where I was.  And there would have been other staff there as Tammy Ordway and so forth.  So they would have been welcomed and greeted by her.  I necessarily wouldn't have had to be there at 7:30.,a,THE WITNESS,start_question
179,554,26,4,"That was going to be my next question. Other than yourself when you arrived, were there other employees of the accounting firm already there?",q,MS. SHERLOCK,start_answer
180,559,26,9,"All I can assume, based on this documentation saying when the time was and that Tammy would be hosting it, she was there.  Beyond that I don't know.",a,THE WITNESS,start_question
181,563,26,13,Do you recall if anyone advised you that they had any issues with the condition of the sidewalk that morning in entering the building?,q,MS. SHERLOCK,start_answer
182,567,26,17,"The only time I remember anything being mentioned, like I said, was when someone came up and made me aware that someone had fallen in the parking lot.",a,THE WITNESS,start_question
183,571,26,21,"Other than Ms. Richard, you weren't aware of anyone else having any issues getting in that morning?",q,MS. SHERLOCK,start_answer
184,574,26,24,Not to my recollection.,a,THE WITNESS,start_question
185,576,27,1,"Again, this is one of those questions I have to ask. Do you recall approximately how many clients attended this conference that day?",q,MS. SHERLOCK,start_answer
186,581,27,6,I do not.,a,THE WITNESS,start_question
187,582,27,7,"At the time of this incident, January 9, 2018, what would the building normal hours be for the general public? Not tenants or employees, but the general public.",q,MS. SHERLOCK,start_answer
188,587,27,12,I'm not sure when the actual doors unlock downstairs.  That's something that usually someone else arranges with Jon Anstine if something were to change or whatever.  That's someone else in the office.  That's not something I'm made aware of.,a,THE WITNESS,start_question
189,594,27,19,"Is it fair to say that what Faw Casson was holding on January 9th, 2018, was a special event?",q,MS. SHERLOCK,start_answer
190,597,27,22,Yes.,a,THE WITNESS,start_question
191,598,27,23,"To the best of your knowledge, was the property manager notified of this special event that morning?",q,MS. SHERLOCK,start_chat
192,602,28,2,If you know.,side_chat,MR. BAUMBERGER,start_chat
193,603,28,3,I can't really speak on that.  I don't know if he was contacted or not.  I didn't personally contact him.,side_chat,THE WITNESS,start_question
194,608,28,8,Did you or someone at Faw Casson have the direct telephone number for Jon Anstine?,q,MS. SHERLOCK,start_answer
195,611,28,11,Yes.,a,THE WITNESS,start_question
196,612,28,12,"Did you or someone at Faw Casson, if you know, have the direct telephone number for Joe Crissman at Crissman Cutters?",q,MS. SHERLOCK,start_answer
197,616,28,16,Not to my knowledge.,a,THE WITNESS,start_question
198,617,28,17,"I apologize if you have already been asked this. If you or someone at Faw Casson had an issue with the condition of the sidewalk, that it was slippery, who would you contact?",q,MS. SHERLOCK,start_answer
199,623,28,23,I would contact Jon Anstine directly.,a,THE WITNESS,start_question
200,626,29,1,"For the eight years that you have been working there, have you ever seen a warning sign or cone outside the building on the sidewalk warning of any condition of the sidewalk?",q,MS. SHERLOCK,start_answer
201,631,29,6,"The only time I can say there's been any cones or anything out there has been when they have been working on either the sidewalk, changing lightbulbs, those types of things, where they want to mark off that area so that nobody is going through there so that no one gets harmed.",a,THE WITNESS,start_question
202,638,29,13,"By ""they"" you mean the property managers or owners?",q,MS. SHERLOCK,start_answer
203,640,29,15,"He usually has someone come down on his behalf.  Like, whoever is doing the maintenance or the work, they would put out cones to mark off the area.",a,THE WITNESS,start_question
204,644,29,19,"By ""he"" you mean Jon Anstine?",q,MS. SHERLOCK,start_answer
205,645,29,20,Yes.,a,THE WITNESS,start_question
206,646,29,21,"To the best of your knowledge, did Faw Casson have any salt or melting substance in the office to put out on the sidewalk?",q,MS. SHERLOCK,start_answer
207,651,30,1,"We do not, because that's not something that is within our contract. That's not something we take care of.",a,THE WITNESS,start_question
208,654,30,4,Some commercial buildings and professional buildings in the wintertime have a bag of salt by the front door. Do you know if there was any such salt or ice melt?,q,MS. SHERLOCK,start_answer
209,659,30,9,I did not see that in the past.,a,THE WITNESS,start_chat
210,660,30,10,"Thank you, ma'am.  That's all I have.",side_chat,MS. SHERLOCK,start_chat
211,662,30,12,Can I get that exhibit back from you?  I might have one follow-up question.,side_chat,MR. CHAMBERS,start_question
212,666,30,16,"If I can summarize what you told us, you're not sure what time you got there that morning.",q,MR. CHAMBERS,start_answer
213,669,30,19,I do not know.,a,THE WITNESS,start_question
214,670,30,20,"You didn't have any problems coming into the building, correct?",q,MR. CHAMBERS,start_answer
215,672,30,22,Other than what's stated in that email.,a,THE WITNESS,start_question
216,674,30,24,"When you came in that morning, you noted that it was still very slippery?",q,MR. CHAMBERS,start_answer
217,677,31,2,"The parking lot, the blacktop, yes.",a,THE WITNESS,start_question
218,678,31,3,And it was slippery enough that you sent this email to Mr. Anstine?,q,MR. CHAMBERS,start_answer
219,680,31,5,The blacktop was slippery enough that I sent it to Mr. Anstine.  Not the sidewalk.,a,THE WITNESS,start_question
220,683,31,8,Do you have any explanation as to why one might be slippery and not the other?,q,MR. CHAMBERS,start_answer
221,686,31,11,I can't say.  That's a scientific thing.  That's nothing I can say one way or the other.,a,THE WITNESS,start_chat
222,689,31,14,Thank you.,side_chat,MR. CHAMBERS,start_question
223,691,31,16,"Ma'am, did you have any involvement in negotiating or doing anything with regard to the lease for the property for Faw Casson?",q,MR. DOSS,start_answer
224,695,31,20,No.  I'm a receptionist.,a,THE WITNESS,start_question
225,696,31,21,I just want to make sure.,q,MR. DOSS,start_chat
226,697,31,22,Thank you.,side_chat,MR. DOSS,start_question
227,699,31,24,"I just have one question. The email that you sent to Mr. Anstine, was that on your own or after somebody came up and said somebody fell?",q,MR. BAUMBERGER,start_answer
228,704,32,4,"This was after someone fell.  My first line I do believe is, yes, ""I think someone just fell in the parking lot this morning so I wanted to give you a heads up.""",a,THE WITNESS,start_question
229,709,32,9,So you were basing that on what you were being told as far as what the conditions were outside --,q,MR. BAUMBERGER,start_answer
230,712,32,12,Yes.,a,THE WITNESS,start_question
231,713,32,13,-- versus what you experienced?,q,MR. BAUMBERGER,start_answer
232,714,32,14,Yes.,a,THE WITNESS,start_chat
233,715,32,15,Okay.,side_chat,MR. BAUMBERGER,start_question
234,717,32,17,Didn't I understand your earlier testimony to be that the parking lot was slippery when you came in?,q,MR. CHAMBERS,start_answer
235,720,32,20,The asphalt?,a,THE WITNESS,start_question
236,721,32,21,"Yes, ma'am.",q,MR. CHAMBERS,start_answer
237,722,32,22,Yes.  Was slick.  The sidewalk was not slick.,a,THE WITNESS,start_question
238,724,32,24,"And that was based not on what someone else told you but, rather, what you personally observed.",q,MR. CHAMBERS,start_answer
239,728,33,3,Yes.,a,THE WITNESS,start_chat
240,729,33,4,Thank you.,side_chat,MR. CHAMBERS,is brackets
241,730,33,5,(Deposition concluded at 12:17 p.m.),brackets,,symbols
242,732,33,7,-  -  -  -  - T E S T I M O N Y DEPONENT:  CAROLE M. PFEFFERKORN     PAGE Examination by Mr. Chambers............3 Examination by Mr. Doss...............14 Examination by Ms. Sherlock...........20 Examination by Mr. Chambers...........26 Examination by Mr. Doss...............27 Examination by Mr. Baumberger.........27 Examination by Mr. Chambers...........28,symbols,,is brackets
243,761,34,11,"(No exhibits were marked at this time.) DIRECTIONS NOT TO ANSWER     PAGE      LINE NONE REQUESTS MADE FOR DOCUMENTS  PAGE      LINE NONE READING AND SIGNING INSTRUCTIONS    PAGE 31 ERRATA SHEET                        PAGE 32 CERTIFICATE OF REPORTER             PAGE 33 READING AND SIGNING INSTRUCTIONS After reading the transcript of your deposition, please note any change or correction and the reason therefor on the errata sheet that appears on the following page.  DO NOT MAKE ANY MARKS OR NOTATIONS ON THE TRANSCRIPT ITSELF.  Please sign and date the errata sheet and return it to our office at the address indicated below.  Our office will distribute copies of the executed errata sheet to all counsel.  If necessary, you can make additional copies of the errata sheet. Rule 30(e) governing this procedure provides the deposition may be filed as transcribed if you do not return a signed errata sheet within 30 days. RETURN ORIGINAL ERRATA SHEET TO: Wilcox & Fetzer, Ltd. 1330 King Street, Wilmington, DE  19801 depos@wilfet.com - 302-655-0477 DEPONENT:  CAROLE M. PFEFFERKORN CASE:  RICHARD v. FAW CASSON ERRATA SHEET",brackets,,symbols
244,807,36,5,----/----/---------------------------------,symbols,,symbols
245,808,36,6,----/----/---------------------------------,symbols,,symbols
246,809,36,7,----/----/---------------------------------,symbols,,symbols
247,810,36,8,----/----/---------------------------------,symbols,,symbols
248,811,36,9,----/----/---------------------------------,symbols,,symbols
249,812,36,10,----/----/---------------------------------,symbols,,symbols
250,813,36,11,----/----/---------------------------------,symbols,,symbols
251,814,36,12,----/----/---------------------------------,symbols,,symbols
252,815,36,13,----/----/---------------------------------,symbols,,symbols
253,816,36,14,----/----/---------------------------------,symbols,,symbols
254,817,36,15,----/----/---------------------------------,symbols,,symbols
255,818,36,16,----/----/---------------------------------,symbols,,symbols
256,819,36,17,----/----/---------------------------------,symbols,,symbols
257,820,36,18,----/----/---------------------------------,symbols,,symbols
258,821,36,19,"----/----/--------------------------------- deposition and, except for any corrections to the transcript as an accurate record of Signature of Deponent CERTIFICATE OF REPORTER State of Delaware  ) I, Kimberly A. Hurley, Registered certify that there came before me on herein, CAROLE M. PFEFFERKORN, who was duly counsel for the respective parties; that the answers given were taken down by me in by use of computer-aided transcription and foregoing is a true and correct transcript of said witness. I further certify that I am not party, or otherwise interested in the event Dated:  January 29, 2020",symbols,,end
