,indice,page_number,line_number,text,text_type,speaker,time_added
22,149,6,8,"I think that when I got -- when I got on scene and spoke to the deputy, they were dispatched initially at 8:08 p.m., I believe.",a,THE WITNESS,start_question
23,152,6,11,"By the way, is Champagne still in Homicide?",q,MR. FRANKEL,start_answer
24,154,6,13,"No.  Champagne is like a captain in Internal Affairs, I think, Professional Standards.",a,THE WITNESS,start_question
25,157,6,16,"Okay.  All right. So when you got on scene, do you happen to recall the name of the deputy that you first spoke with?",q,MR. FRANKEL,start_answer
26,161,6,20,"Yeah.  It was Sergeant Milan and Palermo, Perdomo, Pedermo.  It started with a P like Patanzo.  (Laughter)  Pdermo.",a,THE WITNESS,start_question
27,164,6,23,One of those Italians.,q,MR. FRANKEL,start_answer
28,165,6,24,"Yeah, one of them.  (Laughter)  It ended in a vowel.",a,THE WITNESS,start_question
29,168,7,2,Does that court reporter there need you to spell it for her?,q,MR. FRANKEL,start_answer
30,170,7,4,What's that?,a,THE WITNESS,start_question
31,171,7,5,Does that court reporter there need you to spell it for her?,q,MR. FRANKEL,start_answer
32,173,7,7,"I will give you it.  It's Deputy P-E-R-D-O-M-O, first name Richard.",a,THE WITNESS,start_question
33,175,7,9,Okay.  And generally at that point did he give you an overview of what he knew?,q,MR. FRANKEL,start_answer
34,177,7,11,Yes.  I got initial briefing from him on what he did and the other dep -- first responders.,a,THE WITNESS,start_question
35,180,7,14,Okay.  And I assume at that point there were other deputies who were also present?,q,MR. FRANKEL,start_answer
36,182,7,16,"Yes.  It was several deputies on scene who were securing the perimeter within or outside the perimeter, marked units, mostly all marked uniform BSO personnel.",a,THE WITNESS,start_question
37,186,7,20,"Was Mr. Jordan still being attended to at the scene, or had he already been transported by the time that you got there?",q,MR. FRANKEL,start_answer
38,189,7,23,"When I got there, he had already been transported to Broward General.",a,THE WITNESS,start_question
39,192,8,1,"When you got there, had crime scene arrived yet such that anybody was doing any investigative work for physical evidence?",q,MR. FRANKEL,start_answer
40,195,8,4,No.,a,THE WITNESS,start_question
41,196,8,5,Did you speak to anybody else at the scene other than Perdomo initially?,q,MR. FRANKEL,start_answer
42,198,8,7,"Well, once whatever witnesses were on scene -- there was a big crowd ended up gathering, because it was a -- it's a small-town area. But the witnesses that were identified by the initial responding deputies, I spoke to. We were taking -- we were speaking to them on scene. And then, as people showed up that were willing to speak to us, we spoke to them also.  But there was a couple of witnesses that I spoke to.",a,THE WITNESS,start_question
43,210,8,19,Do you recall who it was you spoke to?,q,MR. FRANKEL,start_answer
44,211,8,20,"Hankerson, Ankerson, Anker?",a,THE WITNESS,start_question
45,212,8,21,I think it's Consuelo Akerson.,q,MR. FRANKEL,start_answer
46,213,8,22,"Akerson.  Akerson, yes.",a,THE WITNESS,start_question
47,214,8,23,What's the first name?,q,MR. FRANKEL,start_answer
48,215,8,24,Con -- um --,a,THE WITNESS,start_question
49,217,9,1,Consuelo?,q,MR. FRANKEL,start_answer
50,218,9,2,Consuelo.,a,THE WITNESS,start_question
51,219,9,3,"Okay.  All right.  And was she there -- did you speak to her immediately after Perdomo, or did you --",q,MR. FRANKEL,start_answer
52,222,9,6,"No, no, no.  No.  When we get there, we walk through the scene.  We ask them if any witnesses have been identified. We see what kind of physical evidence is physically there, as far as, you know, you visually can see it, to hold to preserve in case we can't -- you know, we can't walk control of the scene.  You know, sometimes the crowd, the people run through. And then just examining what we do have visually. Then, once Crime Scene gets there, we kind of walk through with them to do actually what the scene consists of and what we actually located, whatever evidence has been located by us or by responding deputies. And they do a more in-depth investigation.  Sometimes they will come up with some more, you know, find other things that we can't see visually on scene. And then we also start, once the detectives start to respond, then we start to spread out and look for witnesses and videos, things like that. So we kind of do that before we start talking to witnesses.",a,THE WITNESS,start_question
53,249,10,8,Okay.  Do you have or are you able to state everybody who was spoken to by any detective or officer at the scene?,q,MR. FRANKEL,start_answer
54,252,10,11,"As far as I know, I had to hunt down a couple of the 911 callers through their -- from their CAD, the number they called from, that had left the scene. So I only know of Akerson, actually, I think stayed behind and spoke to a deputy initially. And that's where they initially got the first be on the lookout for the vehicle, from the witness that the deputies spoke to before we arrived on scene. I don't know of any other witnesses that they spoke to that gave any information that helped us or directed us in any direction.",a,THE WITNESS,start_question
55,267,11,1,Okay.  And how was it that Ms. Akerson was -- came to your attention?  Was it from another detective?,q,MR. FRANKEL,start_answer
56,270,11,4,No.  The responding officer said that it was one of the witnesses that were there.,a,THE WITNESS,start_question
57,272,11,6,"Okay.  All right.  And how was she pointed out to you, who she was?",q,MR. FRANKEL,start_answer
58,274,11,8,"I think one of the deputies said this is -- you know, yeah, she was there.",a,THE WITNESS,start_question
59,276,11,10,Okay.  All right.  And have you been able to review her statement to you?,q,MR. FRANKEL,start_answer
60,278,11,12,"I just have the synopsis of what she told me in the report. I don't have her -- I did review her statement, you know, a couple years ago, but not recently, the actual transcript.",a,THE WITNESS,start_question
61,283,11,17,"If you would, for the record, give us a synopsis of what she told you?",q,MR. FRANKEL,start_answer
62,285,11,19,"Yeah.  Yes, I can.  But I'm also going to have to refer to what I wrote.  Okay?",a,THE WITNESS,start_question
63,287,11,21,Yeah.  Yeah.,q,MR. FRANKEL,start_answer
64,288,11,22,"All right.  She is -- Consuelo Akerson is a 911 caller.  She is in the neighborhood. It's on the 200 block or the 150 block of 6th Avenue, NW 6th Avenue, Dania. She sees a pickup truck parked on the sidewalk swale kind of deal, one half on, one half off. Hears shots.  Sees a black male running, get into the passenger side of a vehicle, and the vehicle leave. She describes the vehicle to the initial responding deputies, who put out the initial BOLO for the vehicle. And she describes it as a dark-colored F150 pickup truck with a lot of body damage.",a,THE WITNESS,start_question
65,304,12,13,Was she able to indicate how many people were in the vehicle?,q,MR. FRANKEL,start_answer
66,306,12,15,"No.  She just said that the guy that ran, from when she heard the shots, where she saw the black male running, he got into the passenger's side. So, obviously, there would be a driver, at least one other person in the car, from the information that we had.",a,THE WITNESS,start_question
67,313,12,22,Did you get any description of the person running?,q,MR. FRANKEL,start_answer
68,315,12,24,"No.  No.  She only was able to describe the victim, who she knew as CJ from the neighborhood.",a,THE WITNESS,start_question
69,319,13,3,Okay.  All right.  Ultimately --,q,MR. FRANKEL,start_answer
70,320,13,4,"I'm sorry.  She did describe -- she did describe, referring to the report, a clothing description, but not -- couldn't tell you who it was or any physical description, just clothing.",a,THE WITNESS,start_question
71,325,13,9,Ultimately you came to believe that possibly a gentleman by the name of Dontre Anderson was in the vehicle; is that right?,q,MR. FRANKEL,start_answer
72,328,13,12,"Um, it looks like later we learned that Dontre Anderson had been in the vehicle prior to the shooting. The first time we learned about him -- I don't know if you want to get into it now -- but he gave us information about Arvis Brown, you know, prior to the murder, what he saw him possess and do. And we learned later on that he was in the vehicle, but I still think it was prior to the actual shooting.  I don't know -- I don't think it turned out that he was in the vehicle at the time of the shooting, but he was in that vehicle prior.",a,THE WITNESS,start_question
73,343,14,2,So let's break it down just a little bit. How long after December 25th did you first become aware of any information that Dontre Anderson might have been in the vehicle at anytime during that day?,q,MR. FRANKEL,start_answer
74,349,14,8,"Um, I don't think we learned about him being in that vehicle -- we learned it through Michael Kelly, and I think that was after the second interview with Michael Kelly that put him in the vehicle, if I'm not mistaken. And that would be after the second murder, the second set of shootings.",a,THE WITNESS,start_question
75,356,14,15,Okay.,q,MR. FRANKEL,start_answer
76,357,14,16,But we interviewed Michael Kelly on this case.  And the information from Michael Kelly was that it wasn't so much a Dontre Ander -- it was that Arvis had the vehicle at some point.  He had lent it to him. The story had changed later on when it was reinterviewed after the second murder.,a,THE WITNESS,start_question
77,364,14,23,"Well, let me say this:  At some point you had a strong suspicion that Dontre Anderson may have been involved in the shooting; is that right?",q,MR. FRANKEL,start_answer
78,369,15,3,"Well, just -- well, yeah.  There was information from people in the neighborhood that, you know, the gun was at the house there, that he was involved, that other people were involved. You know, Arvis's name came up, you know, five minutes after the shooting. So we were getting a lot of information, but it was hard to verify any of it. We did go and interview him and his brother.  And I think we did look at -- were able to get to go into the house. You know, we couldn't verify any of the information that we actually were getting from different sources about his involvement.",a,THE WITNESS,start_question
79,385,15,19,Was his brother there?,q,MR. FRANKEL,start_answer
80,386,15,20,"Demerius, yeah.",a,THE WITNESS,start_question
81,387,15,21,Demerius or Derrick?,q,MR. FRANKEL,start_answer
82,388,15,22,What is it?,a,THE WITNESS,start_question
83,389,15,23,"Well, I saw in the report it said Derrick, but --",q,MR. FRANKEL,start_answer
84,392,16,1,"Yeah, I don't know.  Darrius, Darus, Demerius, something like that.",a,THE WITNESS,start_question
85,394,16,3,Did you ever physically speak to him?,q,MR. FRANKEL,start_answer
86,395,16,4,I didn't.  One of the other guys did. I think Curcio did.,a,THE WITNESS,start_question
87,397,16,6,Do you know if a statement was taken of Derrick?,q,MR. FRANKEL,start_answer
88,399,16,8,I'm not 100 percent sure.  Probably.,a,THE WITNESS,start_question
89,400,16,9,All right.  So let me go back.,q,MR. FRANKEL,start_answer
90,401,16,10,Uh-huh.,a,THE WITNESS,start_question
91,402,16,11,"You say that people in the neighborhood were giving you information, and that may have included -- we are talking about, you know, that Arvis may have been involved -- but also that included that Dontre Anderson might have been in the vehicle at some point that day?",q,MR. FRANKEL,start_answer
92,409,16,18,"No.  I didn't have any information that -- I didn't have any information of who was in the vehicle that day.  I mean, later on in the investigation.",a,THE WITNESS,start_question
93,413,16,22,Go ahead.  I'm sorry.,q,MR. FRANKEL,start_answer
94,414,16,23,"Yeah.  That day, I didn't know who was in the vehicle except, you know, the person that Akerson saw running to the passenger's side was obviously the shooter, and somebody was driving the vehicle. Once we learned who the vehicle belonged to and who might have been driving it, which would be the cousin, Kelly, we were able to get ahold of -- find the vehicle and interview him and learn what we learned from him on reference to the first murder investigation.",a,THE WITNESS,start_question
95,426,17,10,Was Michael Kelly the first source of information to indicate that Dontre Anderson may have been in the vehicle on the day that Christopher Jordan was shot?,q,MR. FRANKEL,start_answer
96,430,17,14,"Yes, but that came after the second murder.  That was in Curcio's investigation when him and Hayes, when they went up to Pennsylvania and interviewed him.",a,THE WITNESS,start_chat
97,434,17,18,"Yeah, we're going to try to get that off the screen.",side_chat,MR. FRANKEL,start_chat
98,436,17,20,What is it?,side_chat,THE WITNESS,start_chat
99,437,17,21,"Well, we got a pop-up of some sort.  It wanted to know if Peter wanted to marry an Asian woman.  (Laughter)",side_chat,MR. FRANKEL,start_chat
100,440,17,24,I'm at everybody's expense here today.  (Laughter),side_chat,MR. PATANZO,start_chat
101,443,18,2,"So I didn't know Dontre -- as far as I know of Dontre being physically in the vehicle, we didn't learn that until after.",side_chat,THE WITNESS,start_question
102,448,18,7,"So what I wanted to make it is none of the people at the scene that day gave any information, as far as you know, to any law enforcement that Dontre Anderson was in the truck at anytime during the day that Christopher Jordan was shot?",q,MR. FRANKEL,start_answer
103,454,18,13,"Not that I know of, not the initial interviews.  I wasn't aware of that on the 25th.",a,THE WITNESS,start_question
104,456,18,15,Okay.  The first time you became aware of Dontre Anderson was through Michael Kelly?,q,MR. FRANKEL,start_answer
105,458,18,17,"No.  We went -- we spoke to -- no, Dontre Anderson and Michael Cunningham came into the office. We had spoken to them as part of this investigation and then took statements from them.",a,THE WITNESS,start_question
106,464,18,23,Matthew Cunningham?,q,MR. FRANKEL,start_answer
107,465,18,24,"Matthew Cunningham.  I'm sorry.  What did I say, Michael?",a,THE WITNESS,start_question
108,468,19,2,Michael.,q,MR. FRANKEL,start_answer
109,469,19,3,There's a bunch of them.,a,THE WITNESS,start_question
110,470,19,4,You said Michael Kelly.,q,MR. FRANKEL,start_answer
111,471,19,5,"All right.  Yeah.  So we did speak to him. So I knew of Dontre Anderson.  I couldn't put him in the -- I didn't put him in the vehicle, Michael Kelly's vehicle at that time when we spoke to him.  He was spoken --",a,THE WITNESS,start_question
112,477,19,11,When did the name Dontre Anderson ever come to your attention?,q,MR. FRANKEL,start_answer
113,479,19,13,"It would be during the initial investigation the first day or so, um, probably that night, because we did -- we did interview -- I did take statements from Cunningham and Dontre Anderson. They both came into the office, our office.  So, you know, their names -- their information -- their names came up early.",a,THE WITNESS,start_question
114,487,19,21,"Okay.  And do you know what that information was, why they were asked to come in to make a statement?",q,MR. FRANKEL,start_answer
115,490,19,24,"No.  I reviewed my report, and I just have in there that we took statements from them. And I consulted with one of the other detectives. And I don't know if they came in voluntarily.  No, we didn't force anybody, but I can't remember when, how we came upon them -- I have been trying since yesterday trying to remember -- without speaking to them directly.",a,THE WITNESS,start_question
116,500,20,9,"When you say that we took a statement from Matthew Cunningham and Dontre Anderson initially, were you part of those interviews? Actually, I don't think you were, because on the telephone call interview you said, ""I wasn't in the room.""",q,MR. FRANKEL,start_answer
117,506,20,15,Yeah.  The statements were taken --,a,THE WITNESS,start_question
118,507,20,16,So --,q,MR. FRANKEL,start_answer
119,508,20,17,"No.  Hayes took statements, and I'm not sure who else took a statement.  I'd have to see.",a,THE WITNESS,start_question
120,511,20,20,"Okay.  Do you know whether or not Mr. Anderson was a suspect, when he came in to give that first statement, in any way of being involved in the shooting of first degree murder?",q,MR. FRANKEL,start_answer
121,515,20,24,"No, we didn't have any -- we didn't have any -- even Arvis wasn't a suspect.  I mean, we didn't know or have anything saying, you know, that he actually did it at the time. So, no, on these statements, they weren't, you know, um, custodial statements, Miranda statements.",a,THE WITNESS,start_question
122,523,21,7,Right.  Okay.  Do you know what the dates that Dontre Anderson and Matthew Cunningham came in to give their statements to Detective Hayes? And I'm not trying to trip you up.  I just don't think I really know.,q,MR. FRANKEL,start_answer
123,529,21,13,All right.  Um --,a,THE WITNESS,start_question
124,530,21,14,Maybe Lanie knows.,q,MR. FRANKEL,start_answer
125,531,21,15,"December, it looks like, I think, the 28th.  I think on the 28th.",a,THE WITNESS,start_question
126,533,21,17,Okay.,q,MR. FRANKEL,start_answer
127,534,21,18,At the public safety building.,a,THE WITNESS,start_chat
128,535,21,19,It's on Page 19 of Ricky's report.,side_chat,MS. BANDELL,start_chat
129,537,21,21,Okay.  It was on the 28th?,side_chat,MR. FRANKEL,start_chat
130,539,21,23,"Yeah, 28th.  It just says the 28th.",side_chat,THE WITNESS,start_question
131,543,22,2,"All right.  But, according to you, you did not become aware of the fact that Dontre Anderson might have been in the truck at anytime on the day Christopher Jordan was shot until Michael Kelly was spoken to; correct?",q,MR. FRANKEL,start_answer
132,548,22,7,"As far as I recall, yes.  Because, as I said, Dontre Anderson gave us this information to help us get the arrest warrant for -- the initial arrest warrant for Arvis, but he didn't put himself in the vehicle, or we couldn't put him in the vehicle.",a,THE WITNESS,start_question
133,554,22,13,Right.  But I just want to take it in order.,q,MR. FRANKEL,start_answer
134,556,22,15,Okay.,a,THE WITNESS,start_question
135,557,22,16,Were you part of the investigation in meeting with Michael Kelly?  And I think maybe you met with his dad first?,q,MR. FRANKEL,start_answer
136,560,22,19,"Well, we -- yeah, once we identified the vehicle and located it, we went down to Miami and made contact with Michael Kelly and his father and the vehicle, and they were cooperative.",a,THE WITNESS,start_question
137,565,22,24,Right.  I think even Dad was willing to come back and talk about it; is that right?,q,MR. FRANKEL,start_answer
138,568,23,2,"They did.  They did.  They came back, gave statements, and let us take the vehicle.",a,THE WITNESS,start_question
139,570,23,4,"And when you spoke to Michael Kelly initially, didn't he deny having been in the truck that day?",q,MR. FRANKEL,start_chat
140,573,23,7,"Are you talking about Junior or Senior, if you could just clarify?",side_chat,MS. BANDELL,start_chat
141,575,23,9,Junior.,side_chat,MR. FRANKEL,start_chat
142,576,23,10,Okay.,side_chat,MS. BANDELL,start_chat
143,577,23,11,Everything now is in relation to Junior.,side_chat,MR. FRANKEL,start_answer
144,579,23,13,"Yeah.  No.  Junior said he was in the truck. I think what he said initially was that he got -- you know, Arvis wanted to borrow the truck.  He got the truck. And then Arvis dropped him off at his girlfriend's house or somebody's house, and then Arvis left with the truck.",a,THE WITNESS,start_question
145,587,23,21,Okay.  All right.  So let me rephrase that.  He denied being in the truck at the time Christopher Jordan was shot?,q,MR. FRANKEL,start_answer
146,590,23,24,"Correct.  That's his initial, the first interview, yes.",a,THE WITNESS,start_question
147,593,24,2,Which would mean that he could not have been the driver of the person who jumped in; right?,q,MR. FRANKEL,start_answer
148,596,24,5,"Well, if you believed him, yeah.",a,THE WITNESS,start_question
149,597,24,6,Right. And would it be a fair statement to say that you maybe had questions about his voracity during that statement where he said he was not in the truck at the time of the shooting?,q,MR. FRANKEL,start_answer
150,603,24,12,"Um, the story about, you know, a guy like Arvis offering him $50 to rent his truck to use it, I'm sure Arvis could get ahold of a vehicle, if he wanted to, to use it for to kill somebody. But the kid had no criminal record, and he was in college.  And I understand him not being forthright initially with us or putting himself away from the crime like most, you know, people do. But because of the reputation of his cousin, and if he was in the vehicle, he saw his cousin just kill somebody; so I don't think I would, you know, say I was with him either. So I understand if he didn't tell us the truth initially, but it's possible that he wasn't there, you know, when we first talked to him.",a,THE WITNESS,start_question
151,622,25,6,"Well, really what I want to know is your state of mind.  In speaking to him, you had questions about whether or not he was telling you the truth about whether he was in the truck at the time the shooting happened?",q,MR. FRANKEL,start_answer
152,627,25,11,"That's correct.  Yes, that's fair.",a,THE WITNESS,start_question
153,628,25,12,"Okay.  All right. And did he mention Dontre Anderson at all during that first interview, either on or off tape?",q,MR. FRANKEL,start_answer
154,632,25,16,"I don't think so, no.  Not the first time. We learned later on that Dontre was in the vehicle with all three of them.  But not -- at that time, I don't think so.",a,THE WITNESS,start_question
155,637,25,21,"Okay.  And how did it come about that Michael Kelly, did he ever ultimately tell you that he was in the truck at the time the shooting took place?",q,MR. FRANKEL,start_answer
156,642,26,1,"Not to me.  But that was part of the probable cause, that when we reinterviewed, that's what he told Curcio.  And when they reinterviewed him with some more evidence, he did say he was in the truck when the shooting occurred.",a,THE WITNESS,start_question
157,648,26,7,Okay.  And was it at that time that he also indicated that Dontre Anderson was in the truck?,q,MR. FRANKEL,start_answer
158,651,26,10,"During the second investigation when Curcio spoke to him, when he spoke to him a second time, I think that's when we learned -- that's at least when I learned that Dontre was in the vehicle. But I don't believe that Dontre was in the vehicle -- he said Dontre was in the vehicle at the time of the shooting.  I think it was just prior to it. But it was definitely the three of them were in the vehicle at some point together before the shooting, as far as I know.",a,THE WITNESS,start_question
159,663,26,22,"And at some point you made contact, or using the -- or having the information that Hayes received from him initially, you made a decision to recontact Dontre Anderson?  Is that right?",q,MR. FRANKEL,start_answer
160,669,27,3,"Can you say that again, Dave?",a,THE WITNESS,start_question
161,670,27,4,You spoke to him on the phone?,q,MR. FRANKEL,start_answer
162,671,27,5,"Yeah.  We had everybody come in probably a second or third time to clarify things as we learned it.  It's pretty common. So, yeah, we brought him -- he came -- yeah, we did call him, and he came back in.  And we did take another statement from him.  And we also wanted him to look at some -- at the vehicle.",a,THE WITNESS,start_question
163,679,27,13,Well --,q,MR. FRANKEL,start_answer
164,680,27,14,Go ahead.,a,THE WITNESS,start_question
165,681,27,15,"From what I remember, at least a statement that I have, it was on the phone that you spoke to him first?  He was in Cocoa Beach.",q,MR. FRANKEL,start_answer
166,684,27,18,"Yeah.  I don't know where he was. Yeah, probably.",a,THE WITNESS,start_question
167,686,27,20,"Okay.  All right.  And I assume that you followed up with him at that point because he had been placed in the vehicle, at least at anytime, relevant to this case; correct?",q,MR. FRANKEL,start_answer
168,690,27,24,"Yeah.  He was placed -- yeah, eventually he was placed in the vehicle.",a,THE WITNESS,start_question
169,693,28,2,"Right.  Okay. In looking at the statement that Dontre Anderson gave you over the phone, it says on the transcript dialing and then ringing, and the first indication is an answer hello, that being him. And then it says, ""Hopefully, I can hear you better on this one."" It appears that you had spoken to him earlier and had to call him back?",q,MR. FRANKEL,start_answer
170,703,28,12,"I don't remember, but it's not beyond the realm.",a,THE WITNESS,start_question
171,705,28,14,"Okay.  Do you know if there was any recording done of the first time that you spoke to him, or, if you recall, was it simply we have a bad connection, I'll call you right back?",q,MR. FRANKEL,start_answer
172,709,28,18,"Most likely, that's all it was. What did you say the first time around before the bad connection part?",a,THE WITNESS,start_question
173,712,28,21,"Do you recall whether or not there was a tran -- you spoke to him such that you recorded anything of the first conversation when you may have had a bad connection, or was it very short and simply I gotta call you back on a different phone?",q,MR. FRANKEL,start_answer
174,719,29,3,"No, I would have documented if we had a conversation with him prior and then a second conversation, so it probably was a bad connection.",a,THE WITNESS,start_question
175,723,29,7,And do you have a copy of the transcript of the telephone call you had with him?,q,MR. FRANKEL,start_answer
176,726,29,10,"No, I don't.  I don't have access to any of the stuff anymore.",a,THE WITNESS,start_question
177,728,29,12,Okay.  I'm sorry.  All right.  I will read you what I need to and --,q,MR. FRANKEL,start_chat
178,730,29,14,"Dave, just so we can be clear -- Dave?",side_chat,MS. BANDELL,start_chat
179,732,29,16,Yes.,side_chat,MR. FRANKEL,start_chat
180,733,29,17,"I couldn't bring my whole file to Ricky, so I figured that the statements could kind of speak for themselves; so I gave him the police reports, and we reviewed some of the photographs.",side_chat,MS. BANDELL,start_chat
181,738,29,22,I understand.  That's fine.,side_chat,MR. FRANKEL,start_chat
182,740,29,24,All right.,side_chat,MS. BANDELL,start_question
183,743,30,2,In the statement on the telephone --,q,MR. FRANKEL,start_answer
184,744,30,3,Yeah.,a,THE WITNESS,start_question
185,745,30,4,"-- you did say -- and maybe we were wrong in our memory -- ""everything that you told me just a little while ago, that's all the truth, so let's -- let's go on."" Is it possible that maybe you did have a conversation with him prior to -- or that is not recorded and transcribed?",q,MR. FRANKEL,start_answer
186,752,30,11,"It's possible.  I mean, we talked to a lot of people.  That might be that maybe I didn't swear him in, and so sometimes at the end, if I forget to swear them in or something like that, I'll tell them is everything you told me the truth, or it could have just been -- I don't know who would have -- where the tape came from anyway.  I mean, who taped that?  Did we tape that?",a,THE WITNESS,start_question
187,761,30,20,"Yes, it looks like it.  It's a transcript.",q,MR. FRANKEL,start_answer
188,763,30,22,Oh.,a,THE WITNESS,start_question
189,764,30,23,"I do see in here that just before that, you do say, ""Even though we are on the phone, I got to swear you in.""",q,MR. FRANKEL,start_answer
190,768,31,2,"Okay.  So it was a control call.  It was basically -- okay, it was a telephone interview.  I got you.",a,THE WITNESS,start_question
191,771,31,5,Right.  So it's probably nothing different than when you speak to somebody --,q,MR. FRANKEL,start_answer
192,773,31,7,Correct.,a,THE WITNESS,start_question
193,774,31,8,"-- and you go over some preliminaries with them, get some preliminary information, and then go on the record?",q,MR. FRANKEL,start_answer
194,777,31,11,Correct.  Correct.,a,THE WITNESS,start_question
195,778,31,12,"You said to him, ""All right.  Now, you told them about a gun, and it had -- I think you said it had a brown handle."" Do you remember who ""them"" was that you told ""them"" about a gun?",q,MR. FRANKEL,start_answer
196,783,31,17,"Probably -- no, I don't know who he is talking about. What had happened, I think the day after the Jordan, Christopher Jordan was shot, he got his house shot, Dontre.  That's how we got him.  Dontre got his house shot up in a drive-by, but nobody got hurt.  And he called the police to report it. Um, and then I think they automatically knew who it was. Now, I initially thought that Dontre and Arvis were all friends, but maybe they had a falling out or something. But I don't know.  I can't say that Arvis was the one that accused of doing the shooting. But he had gotten his house shot up, and that's why we were over there to begin with, went over there.",a,THE WITNESS,start_question
197,803,32,12,"And this was the home on Pippin Way, P-I-P-P-I-N, Way?",q,MR. FRANKEL,start_answer
198,805,32,14,"Pippin, correct.",a,THE WITNESS,start_question
199,806,32,15,"All right.  So ultimately what became important was that he, Mr. Anderson, said that early in the morning he saw Arvis Brown come and leave a gun in the bushes in front of the house on Pippin Way.",q,MR. FRANKEL,start_answer
200,811,32,20,"Correct, and retrieve it later on.",a,THE WITNESS,start_question
201,812,32,21,Did he indicate to you anything of any other detail other than seeing Arvis Brown do that?,q,MR. FRANKEL,start_answer
202,815,32,24,"No.  He saw Arvis with a gun in his waistband, um, at some point later on. And I'm not sure if he is the one that heard him sing -- I don't know if it really matters -- but it was some about singing some kind of retaliation song.",a,THE WITNESS,start_question
203,822,33,6,That was Matthew Cunningham?,q,MR. FRANKEL,start_answer
204,823,33,7,"Matthew Cunningham, yeah, one or the two of them. No, I don't know if he -- what do you mean, like describe the gun?  Is that what you are asking, anything else about the gun?",a,THE WITNESS,start_question
205,828,33,12,"Well, he just describes it as a brown handle; right?",q,MR. FRANKEL,start_answer
206,830,33,14,"Yeah, as far as I know.",a,THE WITNESS,start_question
207,831,33,15,Did he say what he was doing when he saw Arvis come with the gun?,q,MR. FRANKEL,start_answer
208,833,33,17,"I don't believe so.  I mean, I only have a partial of his statement.  You know, I only take like a synopsis out of it and put it into my report. So without looking at the whole transcript, I don't know exactly what he was doing -- doing at the time when Arvis was -- when he said Arvis retrieved the gun, you want do know what Dontre was doing at the time?",a,THE WITNESS,start_question
209,843,34,2,Right.,q,MR. FRANKEL,start_answer
210,844,34,3,Probably just -- probably just hanging out.,a,THE WITNESS,start_question
211,846,34,5,"And then let me ask you, he does say, or you ask him, ""Now, that story about your brother bringing Arvis over to your house, what's your brother's name, Derrick?  Yeah, Derrick.  Um, it was -- is that true that you told the detective that he came over there, that earlier in the day that Derrick brought him over there?"" Answer:  ""Well, yeah, that -- early that morning I guess Arvis called him and was like I want to come down there, you know, chill with you and, you know."" Okay.  Do you recall that now that I am reading it?",q,MR. FRANKEL,start_answer
212,860,34,19,"Not really.  I know that whatever happened with the brother really didn't pan out to anything, and I don't think that the brother ever drove him to the house there.",a,THE WITNESS,start_question
213,864,34,23,You don't think that was true?,q,MR. FRANKEL,start_answer
214,865,34,24,I don't recall how brown got to Dontre's house?,a,THE WITNESS,start_question
215,868,35,2,Right.,q,MR. FRANKEL,start_answer
